2013-01-30,Iowa State,Big 12,A,Oklahoma State,L,76,78,28,52,13,24,7,10,6,33,17,3,0,17,18,29,61,6,16,14,21,9,28,12,9,1,8,11
2013-02-02,Iowa State,Big 12,H,Baylor,W,79,71,25,59,4,24,25,30,10,36,13,7,1,10,15,27,63,6,20,11,17,9,32,15,4,1,12,20
2013-02-04,Iowa State,Big 12,H,Oklahoma,W,83,64,28,55,11,27,16,18,6,30,18,7,6,10,15,26,71,3,16,9,17,19,40,12,5,2,9,17
2013-02-09,Iowa State,Big 12,A,Kansas State,L,70,79,26,53,12,27,6,7,10,21,11,6,1,18,18,26,51,9,18,18,22,11,24,16,8,3,14,13
2013-02-13,Iowa State,Big 12,A,Texas,L,86,89,28,80,11,33,19,24,16,37,17,8,2,8,20,31,61,7,25,20,25,6,40,17,5,8,18,20
2013-02-16,Iowa State,Big 12,H,TCU,W,87,53,28,54,14,29,17,20,6,36,17,7,3,14,17,21,55,6,25,5,17,7,25,15,6,1,13,17
2013-02-20,Iowa State,Big 12,A,Baylor,W,87,82,32,59,11,28,12,17,9,33,18,5,3,10,15,32,66,8,21,10,18,13,32,11,7,5,9,18
2013-02-23,Iowa State,Big 12,H,Texas Tech,W,86,66,26,53,11,29,23,30,9,42,18,7,5,13,21,23,57,7,25,13,25,10,30,13,11,4,12,25
2013-02-25,Iowa State,Big 12,H,Kansas,L,96,108,25,70,17,41,29,34,10,31,16,4,1,7,19,37,68,13,25,21,27,9,41,21,5,1,15,22
2013-03-02,Iowa State,Big 12,A,Oklahoma,L,69,86,22,51,11,31,14,22,1,21,8,3,2,9,20,23,52,6,18,34,34,4,33,17,4,2,5,18
2013-03-06,Iowa State,Big 12,H,Oklahoma State,W,87,76,27,52,7,22,26,35,10,35,21,6,3,15,18,27,65,4,23,18,20,11,28,11,9,1,11,25
2013-03-09,Iowa State,Big 12,A,West Virginia,W,83,74,26,46,14,23,17,24,2,34,15,4,4,19,16,28,66,10,29,8,10,3,22,20,9,4,9,20
2013-03-14,Iowa State,Big 12,N,Oklahoma,W,73,66,26,61,7,26,14,14,14,41,17,3,1,11,15,24,63,3,18,15,18,12,31,10,5,4,5,15
2013-03-15,Iowa State,Big 12,N,Kansas,L,73,88,26,64,9,33,12,17,10,28,10,10,0,14,17,33,62,5,19,17,20,12,37,19,4,5,16,14
2013-03-22,Iowa State,Big 12,N,Notre Dame,W,76,58,29,59,9,21,9,12,5,26,19,4,1,6,13,22,51,4,17,10,13,9,33,9,2,2,17,11
2013-03-24,Iowa State,Big 12,N,Ohio State,L,75,78,23,52,12,25,17,23,12,35,14,4,0,16,20,25,49,9,18,19,26,2,20,12,7,2,9,20
2012-11-09,Albany (NY),AEC,H,Duquesne,W,69,66,28,61,7,19,6,7,13,32,13,6,2,12,22,22,58,7,28,15,23,18,35,8,4,6,13,13
2012-11-11,Albany (NY),AEC,A,Ohio State,L,60,82,16,45,6,22,22,30,9,29,6,4,0,15,18,32,56,12,20,6,13,8,28,18,5,4,11,20
2012-11-13,Albany (NY),AEC,A,Washington,W,63,62,23,51,7,19,10,16,5,20,14,6,5,13,19,22,53,3,12,15,26,15,35,10,4,4,15,19
2012-11-17,Albany (NY),AEC,N,UMKC,W,62,59,17,42,5,10,23,28,8,28,7,5,3,15,21,18,52,9,22,14,19,10,29,10,4,4,13,25
2012-11-18,Albany (NY),AEC,N,Loyola (MD),L,64,67,23,45,5,12,13,21,6,23,9,2,1,15,20,22,45,4,14,19,25,7,21,9,7,3,12,21
2012-11-20,Albany (NY),AEC,A,South Carolina State,W,83,55,31,58,15,29,6,11,10,33,24,5,0,12,18,25,57,3,16,2,8,7,25,8,6,2,13,11
2012-11-26,Albany (NY),AEC,H,Wagner,W,66,63,23,44,4,15,16,23,2,21,13,6,3,14,15,23,45,4,10,13,16,3,26,10,6,6,13,24
2012-12-01,Albany (NY),AEC,A,Siena,W,69,56,21,53,6,20,21,24,9,30,11,9,3,11,12,24,51,3,12,5,7,3,22,10,7,5,18,17
2012-12-05,Albany (NY),AEC,H,St. Francis (NY),W,77,73,23,43,11,17,20,27,7,34,15,4,0,17,16,28,64,11,28,6,11,9,23,16,7,0,8,23
2012-12-08,Albany (NY),AEC,A,Colgate,W,67,61,22,54,8,22,15,20,6,32,7,4,4,7,16,25,60,2,15,9,14,10,37,9,5,5,6,19
2012-12-12,Albany (NY),AEC,H,South Carolina State,W,70,61,21,53,10,25,18,23,11,31,11,6,0,10,13,25,57,8,21,3,4,6,25,13,3,3,13,17
2012-12-21,Albany (NY),AEC,H,Quinnipiac,L,57,59,18,45,5,13,16,23,6,24,6,6,3,16,16,23,59,4,17,9,11,14,34,10,8,3,16,21
2012-12-28,Albany (NY),AEC,A,Navy,W,71,61,21,42,10,24,19,28,8,30,14,6,1,14,21,21,54,5,18,14,21,12,28,10,6,2,8,22
2012-12-31,Albany (NY),AEC,H,Brown,W,57,50,17,52,3,15,20,27,10,31,9,5,2,12,14,19,51,5,18,7,13,5,28,7,6,3,14,21
2013-01-02,Albany (NY),AEC,H,UMBC,W,65,48,20,44,5,16,20,25,7,33,12,7,2,16,13,19,55,5,19,5,9,8,24,6,4,0,16,22
2013-01-05,Albany (NY),AEC,A,Vermont,L,45,70,15,42,4,15,11,18,8,27,10,2,1,16,15,28,53,6,17,8,13,7,31,14,8,5,8,16
2013-01-07,Albany (NY),AEC,A,Binghamton,W,71,59,28,59,1,12,14,17,5,34,15,6,1,10,18,20,59,10,25,9,16,11,33,6,2,6,13,16
2013-01-12,Albany (NY),AEC,H,Maine,W,76,63,23,53,7,16,23,30,6,30,11,8,4,12,11,25,61,5,20,8,14,9,34,6,6,5,14,21
2013-01-16,Albany (NY),AEC,A,New Hampshire,W,68,62,22,51,3,11,21,29,11,34,8,6,0,12,13,23,54,9,24,7,10,8,25,16,5,2,11,24
2013-01-19,Albany (NY),AEC,A,Hartford,W,56,46,19,55,4,16,14,20,8,36,5,5,2,13,11,18,50,5,19,5,8,3,26,9,9,4,13,18
2013-01-23,Albany (NY),AEC,H,Boston University,L,80,85,28,60,8,17,16,21,10,34,16,3,5,17,16,30,63,14,31,11,14,9,26,14,9,4,10,21
2013-01-26,Albany (NY),AEC,H,Vermont,L,43,50,16,54,3,18,8,12,9,23,10,3,2,7,17,19,39,3,10,9,13,2,31,12,4,7,12,17
2013-01-29,Albany (NY),AEC,H,Stony Brook,L,49,65,17,48,4,13,11,14,6,24,8,5,3,8,12,27,53,6,14,5,7,6,27,8,3,0,9,19
2013-02-02,Albany (NY),AEC,H,Binghamton,W,79,46,31,56,11,23,6,8,9,28,23,7,0,9,11,19,47,2,12,6,10,4,19,9,4,3,14,11
2013-02-06,Albany (NY),AEC,A,UMBC,W,79,56,30,55,7,22,12,19,10,35,19,7,5,18,16,21,59,5,17,9,19,15,31,10,10,3,16,18
2013-02-09,Albany (NY),AEC,A,Maine,L,52,66,20,57,4,14,8,10,9,36,8,6,1,18,18,22,53,7,19,15,24,6,29,13,9,5,12,18
2013-02-16,Albany (NY),AEC,H,Hartford,W,75,49,26,47,10,16,13,17,6,32,13,12,2,18,13,17,54,7,32,8,12,8,24,11,10,3,18,20
2013-02-20,Albany (NY),AEC,A,Boston University,L,69,79,22,50,3,15,22,27,8,28,7,1,1,10,18,28,54,10,25,13,19,4,22,17,6,3,4,20
2013-02-23,Albany (NY),AEC,A,Fairfield,W,58,50,18,42,1,6,21,30,9,29,7,11,0,16,14,17,45,6,21,10,13,7,23,10,11,2,18,21
2013-02-28,Albany (NY),AEC,H,New Hampshire,W,56,49,19,46,5,12,13,18,10,34,6,2,3,14,17,17,50,10,26,5,10,4,19,7,3,1,8,17
2013-03-03,Albany (NY),AEC,A,Stony Brook,L,70,75,26,46,7,17,11,15,3,23,16,4,2,18,23,23,45,7,9,22,29,5,21,16,7,1,13,18
2013-03-09,Albany (NY),AEC,H,Maine,W,50,49,17,50,3,9,13,17,10,27,6,3,0,14,9,20,43,5,15,4,6,4,26,8,8,7,16,22
2013-03-10,Albany (NY),AEC,N,Stony Brook,W,61,59,21,52,8,18,11,16,11,34,10,3,4,11,22,17,51,5,9,20,25,11,30,3,4,4,7,19
2013-03-16,Albany (NY),AEC,A,Vermont,W,53,49,20,41,4,12,9,13,2,20,11,10,4,8,17,21,52,1,14,6,11,13,34,7,3,1,14,17
2013-03-22,Albany (NY),AEC,N,Duke,L,61,73,19,52,9,15,14,16,9,23,14,7,2,13,19,27,46,4,11,15,21,5,27,17,9,3,11,18
2012-11-12,Cal State Fullerton,Big West,A,Stanford,L,68,81,23,53,9,22,13,17,5,29,12,5,1,25,25,29,64,2,13,21,27,12,35,11,8,1,15,20
2012-11-16,Cal State Fullerton,Big West,A,Nevada,L,77,80,25,53,9,21,18,22,8,29,15,9,1,17,26,26,57,6,23,22,30,10,27,15,9,6,15,19
2012-11-17,Cal State Fullerton,Big West,N,Southern Utah,W,112,69,37,57,12,17,26,35,5,24,30,20,1,18,26,23,50,6,17,17,26,9,25,14,7,3,31,27
2012-11-18,Cal State Fullerton,Big West,N,Green Bay,W,93,82,29,53,10,20,25,29,5,25,17,6,1,12,25,26,61,4,24,26,34,16,38,17,8,1,14,22
2012-11-30,Cal State Fullerton,Big West,A,Eastern Washington,L,75,79,24,63,7,22,20,25,10,33,13,12,1,13,25,26,57,7,20,20,29,12,40,16,8,4,19,19
2012-12-02,Cal State Fullerton,Big West,A,Washington,L,72,74,30,71,7,22,5,10,13,34,14,8,1,13,21,24,60,4,16,22,30,11,35,15,4,5,12,15
2012-12-06,Cal State Fullerton,Big West,H,Cal State Bakersfield,L,70,72,21,55,9,27,19,22,6,29,11,5,2,14,19,27,66,4,16,14,20,14,41,11,4,2,15,19
2012-12-13,Cal State Fullerton,Big West,H,Idaho State,W,66,53,23,51,6,22,14,15,6,26,12,7,2,10,20,17,45,4,14,15,19,7,28,8,7,1,17,17
2012-12-16,Cal State Fullerton,Big West,A,Texas Southern,W,93,86,34,56,8,17,17,21,5,24,19,6,0,10,14,33,59,11,25,9,12,6,22,23,3,3,13,20
2012-12-29,Cal State Fullerton,Big West,H,UCSB,W,86,79,26,49,14,30,20,21,4,22,17,6,1,7,10,31,64,15,36,2,3,13,33,20,3,1,14,17
2013-01-03,Cal State Fullerton,Big West,A,Hawaii,L,88,90,36,70,10,23,6,11,10,26,15,14,2,14,19,36,64,6,16,12,20,13,34,20,6,2,20,14
2013-01-05,Cal State Fullerton,Big West,A,Cal State Northridge,W,105,86,34,58,12,23,25,31,5,24,15,7,3,16,17,34,79,3,11,15,18,19,39,19,10,4,13,25
2013-01-09,Cal State Fullerton,Big West,A,Cal State Bakersfield,W,74,62,29,55,5,16,11,18,7,28,17,12,1,14,17,21,41,7,18,13,20,3,26,14,7,0,24,18
2013-01-12,Cal State Fullerton,Big West,H,UC-Riverside,W,71,69,23,54,9,25,16,20,6,19,15,12,1,10,16,28,45,5,15,8,15,8,30,11,5,0,23,16
2013-01-17,Cal State Fullerton,Big West,H,UC-Irvine,L,65,92,22,58,6,19,15,17,5,23,15,6,2,12,18,35,62,12,27,10,14,10,39,18,6,8,14,17
2013-01-19,Cal State Fullerton,Big West,H,Long Beach State,L,71,81,27,69,5,24,12,15,11,28,14,5,3,8,22,27,57,6,18,21,29,15,45,17,3,2,18,18
2013-01-24,Cal State Fullerton,Big West,A,UC-Davis,W,95,88,34,62,12,23,15,19,8,30,19,8,1,11,20,27,53,10,22,24,29,7,26,14,5,3,13,17
2013-01-26,Cal State Fullerton,Big West,A,Pacific,L,67,71,23,55,12,24,9,10,4,28,12,6,2,16,14,26,52,8,13,11,20,2,28,20,6,2,12,14
2013-01-31,Cal State Fullerton,Big West,H,Cal State Northridge,L,86,92,30,63,9,26,17,24,6,24,14,9,1,13,23,33,62,3,11,23,33,15,42,17,5,4,19,20
2013-02-02,Cal State Fullerton,Big West,H,Hawaii,L,75,77,29,65,6,23,11,14,7,34,15,5,1,14,22,26,54,6,15,19,28,4,29,15,8,4,13,14
2013-02-09,Cal State Fullerton,Big West,A,UC-Riverside,W,79,67,25,51,11,31,18,20,5,21,15,5,2,8,18,26,48,4,15,11,20,7,29,20,2,2,13,18
2013-02-13,Cal State Fullerton,Big West,A,Long Beach State,L,65,85,24,68,9,28,8,9,13,28,13,7,2,11,11,35,68,6,21,9,12,18,47,15,9,5,16,13
2013-02-16,Cal State Fullerton,Big West,A,UC-Irvine,L,66,86,22,55,7,21,15,26,8,28,12,12,2,13,17,34,66,11,25,7,12,13,41,26,4,5,16,18
2013-02-20,Cal State Fullerton,Big West,H,Cal Poly,W,77,60,28,50,6,16,15,20,6,27,14,5,2,11,16,23,59,8,26,6,10,13,32,11,4,5,14,15
2013-02-23,Cal State Fullerton,Big West,A,Texas A&M-Corpus Christi,W,63,57,19,42,6,18,19,28,3,23,9,5,3,9,17,22,47,5,18,8,13,3,26,17,5,3,12,21
2013-02-28,Cal State Fullerton,Big West,H,Pacific,L,55,64,16,52,7,24,16,24,11,25,11,8,1,12,21,22,45,4,12,16,21,7,33,16,4,1,17,21
2013-03-02,Cal State Fullerton,Big West,H,UC-Davis,L,68,71,22,51,8,24,16,19,4,21,12,9,1,9,17,27,53,8,15,9,15,11,37,16,3,3,16,18
2013-03-07,Cal State Fullerton,Big West,A,UCSB,L,50,66,17,48,3,15,13,22,8,21,7,5,2,10,17,24,54,4,13,14,20,16,40,13,7,5,14,20
2013-03-09,Cal State Fullerton,Big West,A,Cal Poly,L,60,62,20,41,6,17,14,16,7,24,9,3,3,14,18,21,47,5,13,15,20,8,22,16,7,1,8,15
2013-03-14,Cal State Fullerton,Big West,N,Long Beach State,L,66,75,25,51,7,15,9,16,6,16,18,6,2,8,16,29,50,6,14,11,19,14,33,14,4,4,14,19
2012-11-14,Western Illinois,Summit,A,SIU-Edwardsville,L,50,62,16,39,4,11,14,20,7,27,10,3,4,18,13,24,54,7,14,7,10,9,26,13,10,3,9,18
